INPUT:photo	OUTPUT:result	preview
https://yang.s3.yandex.net/datasets/dbb6b3a2-4fe5-43b3-a672-30d395246bfd	[{"top":0,"left":0.8546391779514166,"shape":"rectangle","width":0.14536082204858336,"height":0.967286047565456},{"top":0.5516057245946709,"left":0.24287357012841568,"shape":"rectangle","width":0.5046131795688704,"height":0.39905311005195354},{"top":0.663839411796783,"left":0.7524705835695713,"shape":"rectangle","width":0.09593880204148886,"height":0.19744815341112287},{"top":0.658010760561514,"left":0.1620131037993343,"shape":"rectangle","width":0.09574730742663567,"height":0.2074253108636651}]	https://lead-assessors.s3.yandex.net/9ae5c844-1341-4364-ac60-7cad7df02c47
https://yang.s3.yandex.net/datasets/e152c913-83b8-4982-9711-158cdfd52aea	[{"top":0.602131297168366,"left":0.36293292467831645,"shape":"rectangle","width":0.11223110201330255,"height":0.22556702209400448},{"top":0.8127372412663394,"left":0.4792303709674633,"shape":"rectangle","width":0.11955052170982233,"height":0.04027982537392949},{"top":0.6286008966998052,"left":0.5947145484014413,"shape":"rectangle","width":0.1114178331581338,"height":0.21636020486567775},{"top":0.6571564157595373,"left":0.7052174540975101,"shape":"rectangle","width":0.23000259810244306,"height":0.3428435842404627},{"top":0.18422810891384894,"left":0.7725662811661813,"shape":"rectangle","width":0.17663182948198652,"height":0.31468613573382304},{"top":0.22918327116153794,"left":0.6988637911665033,"shape":"rectangle","width":0.09022201362029536,"height":0.2481524956072433},{"top":0.22378865169181528,"left":0.6010173820290001,"shape":"rectangle","width":0.12453179344773135,"height":0.14385651919260478},{"top":0.22378865169181528,"left":0.4752148559950671,"shape":"rectangle","width":0.13723911930974508,"height":0.21218836580909212},{"top":0.22918327116153794,"left":0.3697440513403557,"shape":"rectangle","width":0.12199032827532885,"height":0.1366636932329746},{"top":0.22918327116153794,"left":0.22742200168580523,"shape":"rectangle","width":0.1512171777579598,"height":0.1438565191926048},{"top":0.8814826753755053,"left":0,"shape":"rectangle","width":0.6429515573736444,"height":0.11851732462449471},{"top":0.7802306536968048,"left":0.3453042516416121,"shape":"rectangle","width":0.1468201913471282,"height":0.1068932894344351}]	https://lead-assessors.s3.yandex.net/61f293c8-f620-4c9a-89c2-cc3944b52815
https://yang.s3.yandex.net/datasets/8c443ae9-7232-47f4-b911-fa6a031af344	[{"top":0.0029383260359581954,"left":0.38108007284248197,"shape":"rectangle","width":0.5952940090530758,"height":0.9970616739640418}]	https://lead-assessors.s3.yandex.net/fba21d7b-78ab-4ed0-ac35-63d480518f2a
https://yang.s3.yandex.net/datasets/39dcc0eb-35c5-44af-9064-8562eb115f7d	[{"top":0.7414333902729239,"left":0.6156464055936304,"shape":"rectangle","width":0.3843535944063696,"height":0.2585666097270761},{"top":0.18496821311642941,"left":0,"shape":"rectangle","width":0.2982916404684129,"height":0.544137550754943}]	https://lead-assessors.s3.yandex.net/d0a86f63-1a1c-49b3-8186-954f65e9083b
https://yang.s3.yandex.net/datasets/110076b7-361b-41d8-8817-6c1fdd0932cc	[{"top":0,"left":0.08344175557290336,"shape":"rectangle","width":0.8212984647410876,"height":1}]	https://lead-assessors.s3.yandex.net/84af49da-a95d-419c-9c72-6abbdc85770c
https://yang.s3.yandex.net/datasets/d644fc2d-5506-434d-ae1a-c6581f7bdb95	[{"top":0.16308388120246647,"left":0,"shape":"rectangle","width":1,"height":0.737787407598387}]	https://lead-assessors.s3.yandex.net/44e994fe-f634-4ad6-ac0a-eb52b696e9da
https://yang.s3.yandex.net/datasets/c0344a28-1b64-495c-b3b1-365fc08e2f2d	[{"top":0.6224562389248104,"left":0,"shape":"rectangle","width":0.5312427865983936,"height":0.3775437610751896},{"top":0.6132718334853424,"left":0.5364910182780896,"shape":"rectangle","width":0.4041138393365943,"height":0.380496796777962},{"top":0.27627711164922886,"left":0.021900079781227808,"shape":"rectangle","width":0.9111513332805601,"height":0.3801209468529837}]	https://lead-assessors.s3.yandex.net/9749a565-470b-4aaf-88b5-6ae17c4bf1f3
https://yang.s3.yandex.net/datasets/6ef5ba6c-6f43-450f-9609-d8e02a240c62	[{"top":0.09368008948545863,"left":0.05892679592344037,"shape":"rectangle","width":0.8917474521501367,"height":0.894854586129754}]	https://lead-assessors.s3.yandex.net/a3877145-54d7-4ae0-a79f-f6aa628b8cdb
https://yang.s3.yandex.net/datasets/98dcde50-e054-4e16-8b7b-17852f9709ad	[{"top":0.5050873386895581,"left":0.6986594621625483,"shape":"rectangle","width":0.29560978102667934,"height":0.4853488161117664},{"top":0.5096233089335934,"left":0.026409807848068942,"shape":"rectangle","width":0.2956097810266795,"height":0.46720493513562533}]	https://lead-assessors.s3.yandex.net/dd73f5f0-67ea-4cc6-8791-7cf7e28d5bcd
https://yang.s3.yandex.net/datasets/bbb23b76-ea41-408f-9a7d-adfcc41ca372	[{"top":0.7673412243858979,"left":0.5231637225939992,"shape":"rectangle","width":0.26388637688149374,"height":0.2326587756141021},{"top":0.5127911416571211,"left":0,"shape":"rectangle","width":0.17361789353107868,"height":0.48720885834287886}]	https://lead-assessors.s3.yandex.net/b95b033c-342c-4294-9163-c92e4bbb24b2
